0.324,0.1933152333,0.1933152333,,,,,,
0.328,0.1945388167,0.1940356227,,,,,,
0.332,0.19517072,0.1947560122,,,,,,
0.336,0.1957124333,0.1954764016,,,,,,
0.34,0.1962246633,0.196196791,,,,,,
0.344,0.1969977,0.1969171804,,,,,,
0.348,0.19745671,0.1976375698,,,,,,
0.352,0.1981181067,0.1983579592,,,,,,
0.356,0.1989139467,0.1990783486,,,,,,
0.36,0.1991799033,0.199798738,,,,,,
0.364,0.19999628,0.2005191275,,,,,,
0.368,0.2007040367,0.2012395169,,,,,,
0.372,0.2014280433,0.2019599063,,,,,,
0.376,0.2023299467,0.2026802957,,,,,,
0.38,0.2030021367,0.2034006851,,,,,,
0.384,0.20384609,0.2041210745,,,,,,
0.388,0.2049490167,0.2048414639,,,,,,
0.392,0.2055618533,0.2055618533,0.2055618533,,,,,
0.396,0.2068400433,,0.2066614572,,,,,
0.4,0.2074456833,,0.207761061,,,,,
0.404,0.20860367,,0.2088606649,,,,,
0.408,0.2094239867,,0.2099602687,,,,,
0.412,0.2103488933,,0.2110598726,,,,,
0.416,0.2115862633,,0.2121594764,,,,,
0.42,0.2123269833,,0.2132590803,,,,,
0.424,0.21383848,,0.2143586841,,,,,
0.428,0.2147490667,,0.2154582879,,,,,
0.432,0.2159255867,,0.2165578918,,,,,
0.436,0.2170924167,,0.2176574956,,,,,
0.44,0.21875437,,0.2187570995,,,,,
0.444,0.2198567033,,0.2198567033,0.2198567033,,,,
0.448,0.2215972667,,,0.2215998767,,,,
0.452,0.2230942067,,,0.22334305,,,,
0.456,0.2244277233,,,0.2250862233,,,,
0.46,0.22659992,,,0.2268293967,,,,
0.464,0.22836697,,,0.22857257,,,,
0.468,0.22983634,,,0.2303157433,,,,
0.472,0.23171769,,,0.2320589167,,,,
0.476,0.2335228133,,,0.23380209,,,,
0.48,0.2355804167,,,0.2355452633,,,,
0.484,0.2373069567,,,0.2372884367,,,,
0.488,0.23903161,,,0.23903161,0.23903161,,,
0.492,0.2412728667,,,,0.2416132221,,,
0.496,0.2434282067,,,,0.2441948342,,,
0.5,0.24630962,,,,0.2467764464,,,
0.504,0.24839238,,,,0.2493580585,,,
0.508,0.25138145,,,,0.2519396706,,,
0.512,0.2541684533,,,,0.2545212827,,,
0.516,0.2567788767,,,,0.2571028948,,,
0.52,0.2593794467,,,,0.259684507,,,
0.524,0.26154834,,,,0.2622661191,,,
0.528,0.26452576,,,,0.2648477312,,,
0.532,0.2674293433,,,,0.2674293433,0.2674293433,,
0.536,0.27092985,,,,,0.2711099697,,
0.54,0.2740871167,,,,,0.2747905962,,
0.544,0.2777162567,,,,,0.2784712226,,
0.548,0.2809835167,,,,,0.282151849,,
0.552,0.2844005067,,,,,0.2858324754,,
0.556,0.2877932967,,,,,0.2895131018,,
0.56,0.2911047833,,,,,0.2931937282,,
0.564,0.2950182933,,,,,0.2968743546,,
0.568,0.29899351,,,,,0.300554981,,
0.572,0.30324487,,,,,0.3042356074,,
0.576,0.30722535,,,,,0.3079162338,,
0.58,0.3114639167,,,,,0.3115968603,,
0.584,0.3152774867,,,,,0.3152774867,0.3152774867,
0.588,0.31998812,,,,,,0.320122675,
0.592,0.3245245667,,,,,,0.3249678633,
0.596,0.3291419867,,,,,,0.3298130517,
0.6,0.3342030933,,,,,,0.33465824,
0.604,0.33885254,,,,,,0.3395034283,
0.608,0.34347626,,,,,,0.3443486167,
0.612,0.3481841567,,,,,,0.349193805,
0.616,0.3537403967,,,,,,0.3540389933,
0.62,0.3588196667,,,,,,0.3588841817,
0.624,0.36372937,,,,,,0.36372937,0.36372937
0.628,0.3694249067,,,,,,,0.3698918717
0.632,0.3746395433,,,,,,,0.3760543733
0.636,0.3807202033,,,,,,,0.382216875
0.64,0.3863895233,,,,,,,0.3883793767
0.644,0.3912320633,,,,,,,0.3945418783
0.648,0.3978519267,,,,,,,0.40070438
0.652,0.4043368267,,,,,,,0.4068668817
0.656,0.41068174,,,,,,,0.4130293833
0.66,0.4168750133,,,,,,,0.419191885
0.664,0.4234038633,,,,,,,0.4253543867
0.668,0.43097696,,,,,,,0.4315168883
0.672,0.43756879,,,,,,,0.43767939
0.676,0.44220898,,,,,,,0.4438418917
0.68,0.44927535,,,,,,,0.4500043933
0.684,0.4565730867,,,,,,,0.456166895
0.688,0.4634967733,,,,,,,0.4623293967
0.692,0.4694891667,,,,,,,0.4684918983
0.696,0.47565757,,,,,,,0.4746544
0.7,0.4810403467,,,,,,,0.4808169017
0.704,0.4865253333,,,,,,,0.4869794033
0.708,0.49278858,,,,,,,0.493141905
0.712,0.4989190233,,,,,,,0.4993044067
0.716,0.5052982567,,,,,,,0.5054669083
0.72,0.51162941,,,,,,,0.51162941
